Monroe, FL,21885,18949,1600
Monroe, FL,21885,18949,1600
Monroe, FL,21885,18949,1600
Monroe, FL,21885,18949,1600
Nassau, FL,34221,10849,1467
Okaloosa, FL,71788,23711,5158
Okeechobee, FL,9342,3953,337
Orange, FL,195091,329579,21130
Osceola, FL,50252,85287,4442
Palm Beach, FL,270762,371411,15062
Pasco, FL,141943,89998,8873
Pinellas, FL,238746,233327,19447
Pinellas, FL,238746,233327,19447
Polk, FL,157216,117182,9430
Putnam, FL,21873,9920,859
Santa Rosa, FL,65126,18398,3908
Sarasota, FL,124098,97676,6735
Seminole, FL,109265,105611,9501
St. Johns, FL,88633,43037,4722
St. Lucie, FL,70248,66812,3671
Sumter, FL,52722,22631,1296
Suwannee, FL,14281,3955,439
Taylor, FL,6923,2149,207
Union, FL,4567,1014,112
Volusia, FL,142763,108793,8748
Wakulla, FL,10507,4348,489
Walton, FL,25695,6861,1003
Washington, FL,8630,2261,253
Appling, GA,5492,1434,77
Atkinson, GA,1873,696,35
Bacon, GA,3356,607,47
Baker, GA,775,650,15
Baldwin, GA,7691,7965,419
Banks, GA,6130,684,132
Barrow, GA,21105,6580,1143
Bartow, GA,29879,8204,1180
Ben Hill, GA,3734,2098,91
Berrien, GA,5408,1041,114
Bibb, GA,22589,34383,1355
Bleckley, GA,3717,1094,123
Brantley, GA,5561,619,105
Brooks, GA,3679,2504,85
Brooks, GA,3679,2504,85
Bryan, GA,10513,4010,540
Bulloch, GA,14476,8812,863
Burke, GA,4491,4730,129
Butts, GA,6717,2566,194
Calhoun, GA,829,1178,16
Camden, GA,12287,5914,624
Candler, GA,2661,1023,73
Carroll, GA,29983,12422,1339
Catoosa, GA,20860,4769,881
Charlton, GA,2950,1004,54
Chatham, GA,43649,58998,3366
Chattahoochee, GA,746,593,45
Chattooga, GA,6457,1612,177
Cherokee, GA,80611,25203,5011
Clarke, GA,12691,29514,2016
Clay, GA,566,697,8
Clayton, GA,11740,75908,1588
Clinch, GA,1724,685,34
Cobb, GA,152602,159416,14406
Coffee, GA,9575,4090,231
Colquitt, GA,9892,3460,240
Columbia, GA,43060,18863,2267
Cook, GA,4175,1752,111
Coweta, GA,42513,16572,2230
Crawford, GA,3632,1419,106
Crisp, GA,4539,2835,126
Dade, GA,5047,965,226
Dawson, GA,9880,1444,356
Decatur, GA,6009,4104,125
DeKalb, GA,47531,239131,9209
Dodge, GA,5021,1836,138
Dooly, GA,1941,1860,35
